Sl. No.,Medicines,Approved Indications,
1,Albendazole 400mg,Routine de-worming,नियमित डी-वर्मिंग
2,"Aceclofenac 100mg, 200mg",Musculo-skeletal pain,मस्कुल्लो-कंकालल दर्द
3,Diclofenac gel,Musculo-skeletal pain,मस्कुल्लो-कंकालल दर्द
4,Paracetamol 500mg,Symptomatic treatment of pain,दर्द का लक्षण उपचार
5,Chewable Antacid,Hyperacidity/gastric pain,अतिसंधी / गैस्ट्रिक दर्द
6,Ibuprofen 400mg,Musculo-skeletal pain,मस्कुल्लो-कंकालल दर्द
7,Promethazine 10mg,"Allergy symptoms, motion sickness","
एलर्जी लक्षण, गति बीमारी"
8,Cetirizine 10mg,Allergy symptoms,"
एलर्जी लक्षण"
9,Chlorpheniramine 4mg,Allergy symptoms,"
एलर्जी लक्षण"
10,Pheniramine 25mg,Allergy symptoms,"
एलर्जी लक्षण"
11,Vitamin B complex,Nutritional supplements/vitamin. B deficiency disorders,"
पोषण की खुराक / विटामिन बी की कमी संबंधी विकार"
12,Vitamin C 250mg,Vitamin C deficiency disorders,"
विटामिन C की कमी संबंधी विकार"
13,Multivitamins,Nutritional supplements/vitamin deficiency disorders,पोषण की खुराक / विटामिन बी की कमी संबंधी विकार
14,Oral Rehydration Salt (ORS),Dehydration,"
निर्जलीकरण"
15,Metoclopramide 10mg,Symptomatic treatment of nausea and vomiting,"
मतली और उल्टी के लक्षणों का उपचार"
16,Povidone Iodine/Betadine,Wound dressing,"
घाव की मरहम पटटी"
17,Hydroxypropyl Methylcellulose Eye Drops,Artificial tears for dryness of eyes,"
आंखों की सूखापन के लिए कृत्रिम आँसू"
18,Methylcellulose Eye Drops,Artificial tears for dryness of eyes,"
आंखों की सूखापन के लिए कृत्रिम आँसू"
19,Silver Nitrate gel 0.2%,Dressing of minor cuts and burns,मामूली कटौती और जलने का ड्रेसिंग
20,Silver Sulphadiazine Cream,Treatment of minor cuts and burns,"
मामूली कटौती और जलन का उपचार"
21,Methyl Salicylate Ointment,Topical application for musculo-skeletal pain,"
मस्कुल्लो-कंकालल दर्द के लिए सामयिक आवेदन"
22,Calamine Lotion,Topical application for symptomatic allergy,"रोगसूचक एलर्जी के लिए सामयिक आवेदन
"
23,Chlorhexidine,Antiseptic,"सड़न रोकनेवाली दबा
"
24,Dettol,Antiseptic,"सड़न रोकनेवाली दबा
"
25,Strepsils,Sore throat/cold symptoms,"
गले में गले / ठंड के लक्षण"
26,Lozenges,Sore throat/cold symptoms,"
गले में गले / ठंड के लक्षण"
27,Pain Balms,Topical application for pain management,"
दर्द प्रबंधन के लिए सामयिक आवेदन
"
28,Glycerin,Skin protectant,"
त्वचा रक्षक"
29,Boroplus,Antiseptic,सड़न रोकनेवाली दबा
30,Boroline,Antiseptic,सड़न रोकनेवाली दबा
